source_dataset,source_row_id,property_family,governorate,delegation,city,location,surface_m2,rooms,bathrooms,price_tnd
data_prices_cleaned,861,apartment,Sousse,Khzema,Khzema,"Sousse,Khzema",161.0,4.0,2.0,565000.0
data_prices_cleaned,863,apartment,Tunis,Carthage,Carthage,"Tunis,Carthage",152.0,4.0,1.0,285000.0
data_prices_cleaned,867,house,Tunis,El Ouardia,El Ouardia,"Tunis,El Ouardia",477.0,7.0,2.0,850000.0
data_prices_cleaned,870,house,Bizerte,Menzel Jemil,Menzel Jemil,"Bizerte,Menzel Jemil",253.0,4.0,2.0,160000.0
data_prices_cleaned,872,apartment,Sousse,Khzema,Khzema,"Sousse,Khzema",140.0,3.0,2.0,380000.0
data_prices_cleaned,873,apartment,Sousse,Khzema,Khzema,"Sousse,Khzema",140.0,2.0,1.0,320000.0
data_prices_cleaned,880,apartment,Ben Arous,El Mourouj 6,El Mourouj 6,"Ben Arous,El Mourouj 6",52.0,1.0,1.0,138000.0
data_prices_cleaned,887,house,Sfax,Route Gremda,Route Gremda,"Sfax,Route GREMDA",1000.0,6.0,2.0,800000.0
data_prices_cleaned,888,apartment,Sousse,Sousse Corniche,Sousse Corniche,"Sousse,Sousse corniche",160.0,2.0,2.0,620000.0
data_prices_cleaned,889,house,Sousse,Chatt Mariem,Chatt Mariem,"Sousse,Chatt mariem",550.0,4.0,5.0,1300000.0
data_prices_cleaned,890,apartment,Sousse,Kantaoui,Kantaoui,"Sousse,Kantaoui",99.0,2.0,2.0,450000.0
data_prices_cleaned,895,house,Nabeul,El Haouaria,El Haouaria,"Nabeul,El Haouaria",305.0,4.0,1.0,300000.0
data_prices_cleaned,897,house,Nabeul,Soliman,Soliman,"Nabeul,Soliman",500.0,5.0,2.0,650000.0
data_prices_cleaned,898,apartment,Tunis,Ain Zaghouan Nord,Ain Zaghouan Nord,"Tunis,Ain Zaghouan Nord",157.0,3.0,3.0,580000.0
data_prices_cleaned,902,house,Nabeul,Klibia,Klibia,"Nabeul,Klibia",150.0,2.0,1.0,90000.0
data_prices_cleaned,905,apartment,Nabeul,Klibia,Klibia,"Nabeul,Klibia",140.0,2.0,1.0,180000.0
data_prices_cleaned,906,house,Ariana,Raoued,Raoued,"Ariana,Raoued",219.0,6.0,2.0,195000.0
data_prices_cleaned,909,apartment,Ariana,Ennasr,Ennasr,"Ariana,Ennasr",110.0,3.0,1.0,280000.0
data_prices_cleaned,910,apartment,Sousse,Kantaoui,Kantaoui,"Sousse,Kantaoui",52.0,1.0,1.0,243000.0
data_prices_cleaned,911,apartment,Ariana,Cit Ennasr 2,Cit Ennasr 2,"Ariana,Cit Ennasr 2",160.0,4.0,2.0,345000.0
